site,date,title,extractedData,linkToArchive,linkToExtractedText,snippet
www.staples.pt,20160220,Apple iPhone 6 16Gb Space Gray | Staples.pt,"['649,00€']",https://arquivo.pt/wayback/20160220141522mp_/http://www.staples.pt/apple-iphone-6-16gb-space-gray/cbs/370521.html,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.staples.pt%2Fapple-iphone-6-16gb-space-gray%2Fcbs%2F370521.html%2F20160220141522,"<em>Apple</em> <em>iPhone</em> <em>6</em> 16Gb Space Gray | Staples.pt Este site utiliza cookies anal&iacute;ticas pr&oacute;prias e/ou de<span class=""ellipsis""> ... </span> &gt; Telem&oacute;veis e Smartphones &gt; Telem&oacute;veis e Smartphones &gt; <em>Apple</em> <em>iPhone</em> <em>6</em> 16Gb Space Gray Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de <em>Apple</em> <em>iPhone</em> <em>6</em> 16Gb Space Gray em Staples.pt. Encomende online<span class=""ellipsis""> ... </span>"
www.staples.pt,20160220,Apple iPhone 6 16GB Prateado | Staples.pt,"['649,00€']",https://arquivo.pt/wayback/20160220150758mp_/http://www.staples.pt/apple-iphone-6-16gb-prateado/cbs/370533.html?effort_code=WW&promoCode=400090029&find_number=370533,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.staples.pt%2Fapple-iphone-6-16gb-prateado%2Fcbs%2F370533.html%3Feffort_code%3DWW%26promoCode%3D400090029%26find_number%3D370533%2F20160220150758,"<em>Apple</em> <em>iPhone</em> <em>6</em> 16GB Prateado | Staples.pt Este site utiliza cookies anal&iacute;ticas pr&oacute;prias e/ou de<span class=""ellipsis""> ... </span> &gt; Telem&oacute;veis e Smartphones &gt; Telem&oacute;veis e Smartphones &gt; <em>Apple</em> <em>iPhone</em> <em>6</em> 16GB Prateado Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de <em>Apple</em> <em>iPhone</em> <em>6</em> 16GB Prateado em Staples.pt. Encomende online<span class=""ellipsis""> ... </span>"
www.staples.pt,20170226,Apple iPhone 7 32Gb Gold | Staples.pt,"['633,33']",https://arquivo.pt/wayback/20170226121102mp_/http://www.staples.pt/smartphones-e-telem%C3%B3veis/cbs/463305.html?promoCode=&Effort_Code=WW&Find_Number=463305&m=0&utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.staples.pt%2Fsmartphones-e-telem%25C3%25B3veis%2Fcbs%2F463305.html%3FpromoCode%3D%26Effort_Code%3DWW%26Find_Number%3D463305%26m%3D0%26utm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20170226121102,"<em>Apple</em> <em>iPhone</em> <em>7</em> 32Gb Gold | Staples.pt Este site utiliza cookies anal&iacute;ticas pr&oacute;prias e/ou de<span class=""ellipsis""> ... </span> &gt; Smartphones e Telem&oacute;veis <em>Apple</em> <em>iPhone</em> <em>7</em> 32Gb Gold Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de <em>Apple</em><span class=""ellipsis""> ... </span> comprados em conjunto Descri&ccedil;&atilde;o Caracter&iacute;sticas Entrega Frequentemente comprados em conjunto <em>Apple</em> <em>iPhone</em> <em>7</em><span class=""ellipsis""> ... </span>"
www.staples.pt,20170226,Apple iPhone 7 128Gb Black | Staples.pt,"['779,67']",https://arquivo.pt/wayback/20170226120931mp_/http://www.staples.pt/smartphones-e-telem%C3%B3veis/cbs/463299.html?promoCode=&Effort_Code=WW&Find_Number=463299&m=0&utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=http%3A%2F%2Fwww.staples.pt%2Fsmartphones-e-telem%25C3%25B3veis%2Fcbs%2F463299.html%3FpromoCode%3D%26Effort_Code%3DWW%26Find_Number%3D463299%26m%3D0%26utm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20170226120931,"<em>Apple</em> <em>iPhone</em> <em>7</em> 128Gb Black | Staples.pt Este site utiliza cookies anal&iacute;ticas pr&oacute;prias e/ou de<span class=""ellipsis""> ... </span> &gt; Smartphones e Telem&oacute;veis <em>Apple</em> <em>iPhone</em> <em>7</em> 128Gb Black Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de <em>Apple</em> <em>iPhone</em> <em>7</em> 128Gb Black em Staples.pt. Encomende online. Entregas Gr&aacute;tis. # Produto: WW-463299<span class=""ellipsis""> ... </span>"
www.staples.pt,20180720,"Apple iPhone 8, 4,7"", 256 GB, Dourado | Staples.pt","['820,33']",https://arquivo.pt/wayback/20180720070827mp_/https://www.staples.pt/smartphones-e-telemoveis/cbs/520434.html?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.staples.pt%2Fsmartphones-e-telemoveis%2Fcbs%2F520434.html%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20180720070827,"<em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&quot;, 256 GB, Dourado | Staples.pt A Staples solutions utiliza cookies (e<span class=""ellipsis""> ... </span> <em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&quot;, 256 GB, Dourado # Produto: WW-520434 Marca <em>Apple</em> Produto ainda n&atilde;o avaliado<span class=""ellipsis""> ... </span> comprados em conjunto <em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&quot;, 256 GB, Dourado 820,33&nbsp;&#8364; Sem IVA unidade Qtd: EasyTech<span class=""ellipsis""> ... </span>"
www.staples.pt,20180720,"Apple iPhone 8, 4,7”, 64 GB, Dourado | Staples.pt","['673,98']",https://arquivo.pt/wayback/20180720075122mp_/https://www.staples.pt/smartphones-e-telemoveis/cbs/520482.html?utm_source=kuantokusta&utm_medium=cpc&utm_campaign=catalogo,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.staples.pt%2Fsmartphones-e-telemoveis%2Fcbs%2F520482.html%3Futm_source%3Dkuantokusta%26utm_medium%3Dcpc%26utm_campaign%3Dcatalogo%2F20180720075122,"<em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&#8221;, 64 GB, Dourado | Staples.pt A Staples solutions utiliza cookies (e<span class=""ellipsis""> ... </span> <em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&#8221;, 64 GB, Dourado # Produto: WW-520482 Marca <em>Apple</em> Produto ainda n&atilde;o avaliado Seja<span class=""ellipsis""> ... </span> Entrega Frequentemente comprados em conjunto <em>Apple</em> <em>iPhone</em> <em>8</em>, 4,7&#8221;, 64 GB, Dourado 673,98&nbsp;&#8364; Sem IVA unidade<span class=""ellipsis""> ... </span>"
www.staples.pt,20190324,Sony Jogo Playstation 4 DRIVECLUB™ | Staples.pt,"['16,25']",https://arquivo.pt/wayback/20190324224054mp_/https://www.staples.pt/consolas-e-jogos/cbs/550731.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.staples.pt%2Fconsolas-e-jogos%2Fcbs%2F550731.html%2F20190324224054,"Sony Jogo <em>Playstation</em> <em>4</em> DRIVECLUB&#8482; | Staples.pt A Staples solutions utiliza cookies (e tecnologias<span class=""ellipsis""> ... </span> &gt; Consolas e Jogos &gt; Consolas e Jogos Sony Jogo <em>Playstation</em> <em>4</em> DRIVECLUB&#8482; Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de Sony Jogo <em>Playstation</em> <em>4</em> DRIVECLUB&#8482; em Staples.pt. Encomende online. Entregas<span class=""ellipsis""> ... </span>"
www.staples.pt,20190324,Sony Jogo Playstation 4 LittleBigPlanet™ 3 | Staples.pt,"['16,25']",https://arquivo.pt/wayback/20190324224111mp_/https://www.staples.pt/consolas-e-jogos/cbs/550734.html,https://arquivo.pt/textextracted?m=https%3A%2F%2Fwww.staples.pt%2Fconsolas-e-jogos%2Fcbs%2F550734.html%2F20190324224111,"Sony Jogo <em>Playstation</em> <em>4</em> LittleBigPlanet&#8482; 3 | Staples.pt A Staples solutions utiliza cookies (e<span class=""ellipsis""> ... </span> Gaming &gt; Consolas e Jogos &gt; Consolas e Jogos Sony Jogo <em>Playstation</em> <em>4</em> LittleBigPlanet&#8482; 3 Veja informa&ccedil;&atilde;o de pre&ccedil;o, promo&ccedil;&otilde;es e &quot;reviews&quot; de Sony Jogo <em>Playstation</em> <em>4</em> LittleBigPlanet&#8482; 3 em Staples.pt<span class=""ellipsis""> ... </span>"
